SwanLab WARNING [2024-02-19 22:30:44,794] Step 44039 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:31:03,753] Step 44976 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:31:03,755] Step 44976 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:31:03,756] Step 44976 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:31:22,466] Step 45913 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:31:22,467] Step 45913 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:31:22,469] Step 45913 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:31:41,538] Step 46850 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:31:41,540] Step 46850 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:31:41,541] Step 46850 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:32:00,281] Step 47787 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:32:00,283] Step 47787 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:32:00,284] Step 47787 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:32:19,307] Step 48724 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:32:19,308] Step 48724 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:32:19,311] Step 48724 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:32:38,149] Step 49661 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:32:38,151] Step 49661 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:32:38,153] Step 49661 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:32:57,301] Step 50598 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:32:57,302] Step 50598 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:32:57,304] Step 50598 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:33:16,270] Step 51535 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:33:16,271] Step 51535 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:33:16,274] Step 51535 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:33:35,027] Step 52472 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:33:35,029] Step 52472 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:33:35,031] Step 52472 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:33:54,462] Step 53409 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:33:54,464] Step 53409 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:33:54,465] Step 53409 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:34:13,235] Step 54346 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:34:13,237] Step 54346 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:34:13,239] Step 54346 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:34:32,199] Step 55283 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:34:32,200] Step 55283 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:34:32,200] Step 55283 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:34:51,072] Step 56220 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:34:51,073] Step 56220 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:34:51,077] Step 56220 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:35:10,193] Step 57157 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:35:10,194] Step 57157 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:35:10,195] Step 57157 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:35:28,915] Step 58094 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:35:28,916] Step 58094 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:35:28,917] Step 58094 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:35:48,028] Step 59031 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:35:48,029] Step 59031 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:35:48,031] Step 59031 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:36:07,150] Step 59968 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:36:07,152] Step 59968 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:36:07,153] Step 59968 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:36:25,934] Step 60905 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:36:25,935] Step 60905 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:36:25,937] Step 60905 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:36:44,945] Step 61842 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:36:44,946] Step 61842 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:36:44,948] Step 61842 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:37:03,740] Step 62779 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:37:03,742] Step 62779 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:37:03,743] Step 62779 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:37:23,184] Step 63716 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:37:23,186] Step 63716 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:37:23,188] Step 63716 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:37:42,085] Step 64653 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:37:42,087] Step 64653 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:37:42,090] Step 64653 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:38:01,335] Step 65590 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:38:01,336] Step 65590 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:38:01,340] Step 65590 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:38:20,088] Step 66527 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:38:20,090] Step 66527 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:38:20,090] Step 66527 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:38:39,043] Step 67464 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:38:39,044] Step 67464 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:38:39,046] Step 67464 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:38:58,100] Step 68401 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:38:58,103] Step 68401 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:38:58,105] Step 68401 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:39:17,140] Step 69338 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:39:17,141] Step 69338 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:39:17,142] Step 69338 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:39:36,087] Step 70275 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:39:36,088] Step 70275 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:39:36,089] Step 70275 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:39:55,132] Step 71212 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:39:55,135] Step 71212 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:39:55,136] Step 71212 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:40:14,884] Step 72149 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:40:14,888] Step 72149 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:40:14,890] Step 72149 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:40:33,574] Step 73086 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:40:33,576] Step 73086 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:40:33,577] Step 73086 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:40:52,599] Step 74023 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:40:52,600] Step 74023 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:40:52,601] Step 74023 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:41:11,575] Step 74960 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:41:11,577] Step 74960 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:41:11,580] Step 74960 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:41:30,615] Step 75897 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:41:30,616] Step 75897 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:41:30,618] Step 75897 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:41:49,512] Step 76834 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:41:49,513] Step 76834 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:41:49,514] Step 76834 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:42:08,418] Step 77771 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:42:08,419] Step 77771 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:42:08,421] Step 77771 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:42:27,150] Step 78708 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:42:27,153] Step 78708 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:42:27,156] Step 78708 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:42:46,159] Step 79645 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:42:46,160] Step 79645 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:42:46,161] Step 79645 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:43:04,892] Step 80582 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:43:04,894] Step 80582 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:43:04,896] Step 80582 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:43:23,467] Step 81519 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:43:23,468] Step 81519 on tag loss already exists, ignored.
SwanLab WARNING [2024-02-19 22:43:23,469] Step 81519 on tag loss already exists, ignored.
SwanLab ERROR [2024-02-19 22:43:36,179] Error happended while training, SwanLab will throw it
