1 [SwanLab-INFO]:        Experiment GAN has been registered.
2 [SwanLab-INFO]:        Run data will be saved locally in C:\LearningGit\Learning Project\GAN\logs\run-20240219_172208-e955f761
3 [SwanLab-INFO]:        Experiment_name: GAN_2024-02-19_17-22-08
4 [SwanLab-INFO]:        Run `swanlab watch` to view SwanLab Experiment Dashboard
5 use gpu for training
60 step:2540, recons_loss:0.1720285564661026, g_loss:0.8821155428886414, d_loss:1.4189139604568481, real_loss:0.8521661162376404, fake_loss:0.5667478442192078
61 step:2574, recons_loss:0.15885792672634125, g_loss:0.7890430688858032, d_loss:1.3328807353973389, real_loss:0.6895735263824463, fake_loss:0.6433072090148926
62 step:2624, recons_loss:0.15714174509048462, g_loss:0.8282150030136108, d_loss:1.4022502899169922, real_loss:0.744560718536377, fake_loss:0.65768963098526
63 step:2674, recons_loss:0.1603086143732071, g_loss:0.868184506893158, d_loss:1.3849619626998901, real_loss:0.7949042320251465, fake_loss:0.5900577306747437
64 step:2724, recons_loss:0.1631927788257599, g_loss:0.9293720722198486, d_loss:1.2909438610076904, real_loss:0.7735059857368469, fake_loss:0.5174379348754883
65 step:2774, recons_loss:0.16594059765338898, g_loss:0.6827594041824341, d_loss:1.3208531141281128, real_loss:0.594688892364502, fake_loss:0.7261642217636108
66 step:2808, recons_loss:0.17849962413311005, g_loss:0.7725093364715576, d_loss:1.3485368490219116, real_loss:0.6959192752838135, fake_loss:0.6526175737380981
67 step:2858, recons_loss:0.15898336470127106, g_loss:0.6547742486000061, d_loss:1.3565688133239746, real_loss:0.5991626977920532, fake_loss:0.7574060559272766
68 step:2908, recons_loss:0.17122529447078705, g_loss:0.7139028310775757, d_loss:1.395363688468933, real_loss:0.693259596824646, fake_loss:0.7021040916442871
69 step:2958, recons_loss:0.18596847355365753, g_loss:0.8970800638198853, d_loss:1.2922320365905762, real_loss:0.7172286510467529, fake_loss:0.575003445148468
70 step:3008, recons_loss:0.16779455542564392, g_loss:0.8393405079841614, d_loss:1.5167688131332397, real_loss:0.8270429372787476, fake_loss:0.6897258758544922
71 step:3042, recons_loss:0.15568287670612335, g_loss:0.6052037477493286, d_loss:1.3947639465332031, real_loss:0.5553326606750488, fake_loss:0.8394312858581543
72 step:3092, recons_loss:0.1585945338010788, g_loss:0.8034694790840149, d_loss:1.2952423095703125, real_loss:0.687841534614563, fake_loss:0.6074007749557495
73 step:3142, recons_loss:0.16553138196468353, g_loss:0.6677120327949524, d_loss:1.3156020641326904, real_loss:0.5725529193878174, fake_loss:0.7430492043495178
74 step:3192, recons_loss:0.1803390383720398, g_loss:0.897437572479248, d_loss:1.3700369596481323, real_loss:0.8280242681503296, fake_loss:0.5420126914978027
75 step:3242, recons_loss:0.15640245378017426, g_loss:0.7637972831726074, d_loss:1.3385761976242065, real_loss:0.6812806129455566, fake_loss:0.6572955846786499
76 step:3276, recons_loss:0.16778121888637543, g_loss:0.8972188234329224, d_loss:1.1863276958465576, real_loss:0.6373540163040161, fake_loss:0.5489736199378967
77 step:3326, recons_loss:0.15684974193572998, g_loss:0.7207517623901367, d_loss:1.2643970251083374, real_loss:0.5872814655303955, fake_loss:0.6771155595779419
78 step:3376, recons_loss:0.15553006529808044, g_loss:0.7367244958877563, d_loss:1.2465993165969849, real_loss:0.570385217666626, fake_loss:0.6762140989303589
79 step:3426, recons_loss:0.16670577228069305, g_loss:0.8462731242179871, d_loss:1.4041258096694946, real_loss:0.8013466596603394, fake_loss:0.6027791500091553
80 step:3476, recons_loss:0.16293658316135406, g_loss:0.7168389558792114, d_loss:1.32760488986969, real_loss:0.633933424949646, fake_loss:0.693671464920044
