1 [SwanLab-INFO]:        Experiment GAN has been registered.
2 [SwanLab-INFO]:        Run data will be saved locally in C:\LearningGit\Learning Project\GAN\logs\run-20240221_124726-0faa6e9b
3 [SwanLab-INFO]:        Experiment_name: GAN_2024-02-21_12-47-26
4 [SwanLab-INFO]:        Run `swanlab watch` to view SwanLab Experiment Dashboard
5 use gpu for training
55 step:2306, recons_loss:0.16434571146965027, g_loss:0.7429432272911072, d_loss:1.375580906867981, real_loss:0.7172685861587524, fake_loss:0.6583123207092285
56 step:2340, recons_loss:0.1581539660692215, g_loss:0.9576095938682556, d_loss:1.3916007280349731, real_loss:0.8981943130493164, fake_loss:0.49340641498565674
57 step:2390, recons_loss:0.17586800456047058, g_loss:0.8591657280921936, d_loss:1.3200628757476807, real_loss:0.7568594217300415, fake_loss:0.5632034540176392
58 step:2440, recons_loss:0.17026551067829132, g_loss:0.6362726092338562, d_loss:1.5115077495574951, real_loss:0.7234129309654236, fake_loss:0.7880948781967163
59 step:2490, recons_loss:0.16157811880111694, g_loss:0.6372941732406616, d_loss:1.3513095378875732, real_loss:0.5884506702423096, fake_loss:0.7628589272499084
60 step:2540, recons_loss:0.16504180431365967, g_loss:0.7812026143074036, d_loss:1.4528834819793701, real_loss:0.8171303272247314, fake_loss:0.6357530951499939
61 step:2574, recons_loss:0.17027854919433594, g_loss:0.9771170616149902, d_loss:1.405849814414978, real_loss:0.9141993522644043, fake_loss:0.4916504919528961
62 step:2624, recons_loss:0.16085375845432281, g_loss:0.9104106426239014, d_loss:1.3381705284118652, real_loss:0.8111060857772827, fake_loss:0.5270644426345825
63 step:2674, recons_loss:0.16115956008434296, g_loss:0.6581557989120483, d_loss:1.3975727558135986, real_loss:0.6548995971679688, fake_loss:0.7426732182502747
64 step:2724, recons_loss:0.16179797053337097, g_loss:0.80670565366745, d_loss:1.2378339767456055, real_loss:0.6363028287887573, fake_loss:0.6015311479568481
65 step:2774, recons_loss:0.15981435775756836, g_loss:0.5858278870582581, d_loss:1.4015913009643555, real_loss:0.549973726272583, fake_loss:0.8516175746917725
66 step:2808, recons_loss:0.16075702011585236, g_loss:0.7540622353553772, d_loss:1.3489006757736206, real_loss:0.6816107034683228, fake_loss:0.6672899723052979
67 step:2858, recons_loss:0.1803036630153656, g_loss:0.8802756071090698, d_loss:1.3149170875549316, real_loss:0.7121418714523315, fake_loss:0.6027751564979553
68 step:2908, recons_loss:0.1514766812324524, g_loss:0.6934342384338379, d_loss:1.2898850440979004, real_loss:0.5806538462638855, fake_loss:0.7092311382293701
69 step:2958, recons_loss:0.16864292323589325, g_loss:0.6396597027778625, d_loss:1.4350881576538086, real_loss:0.6359725594520569, fake_loss:0.7991156578063965
70 step:3008, recons_loss:0.16380181908607483, g_loss:0.8300731778144836, d_loss:1.2076735496520996, real_loss:0.620491087436676, fake_loss:0.5871825218200684
71 step:3042, recons_loss:0.1654142439365387, g_loss:0.954598069190979, d_loss:1.252259612083435, real_loss:0.7457435131072998, fake_loss:0.5065160989761353
72 step:3092, recons_loss:0.1687266230583191, g_loss:0.8902664184570312, d_loss:1.293853998184204, real_loss:0.7332606911659241, fake_loss:0.5605933666229248
73 step:3142, recons_loss:0.16349051892757416, g_loss:0.9041364192962646, d_loss:1.312814474105835, real_loss:0.7794787287712097, fake_loss:0.53333580493927
74 step:3192, recons_loss:0.16492146253585815, g_loss:0.6409388184547424, d_loss:1.4552340507507324, real_loss:0.6359103322029114, fake_loss:0.8193237781524658
75 step:3242, recons_loss:0.15421533584594727, g_loss:0.6778176426887512, d_loss:1.288224458694458, real_loss:0.5452126860618591, fake_loss:0.7430117726325989
76 step:3276, recons_loss:0.16105060279369354, g_loss:0.7060727477073669, d_loss:1.2919301986694336, real_loss:0.5933824777603149, fake_loss:0.6985477209091187
77 step:3326, recons_loss:0.15556739270687103, g_loss:0.742712676525116, d_loss:1.29593026638031, real_loss:0.6226288080215454, fake_loss:0.6733014583587646
78 step:3376, recons_loss:0.16086755692958832, g_loss:0.9485675692558289, d_loss:1.2519983053207397, real_loss:0.7328668832778931, fake_loss:0.5191314220428467
79 step:3426, recons_loss:0.16368910670280457, g_loss:0.7516034245491028, d_loss:1.3766701221466064, real_loss:0.7292492389678955, fake_loss:0.6474209427833557
80 step:3476, recons_loss:0.16742287576198578, g_loss:1.0360708236694336, d_loss:1.3417998552322388, real_loss:0.8910003900527954, fake_loss:0.45079943537712097
81 step:3510, recons_loss:0.1643635481595993, g_loss:0.623267412185669, d_loss:1.313920497894287, real_loss:0.5213481783866882, fake_loss:0.7925723195075989
82 step:3560, recons_loss:0.16654886305332184, g_loss:0.7168057560920715, d_loss:1.4000999927520752, real_loss:0.635112464427948, fake_loss:0.7649875283241272
83 step:3610, recons_loss:0.16604137420654297, g_loss:0.7607638835906982, d_loss:1.4004359245300293, real_loss:0.7530477643013, fake_loss:0.647388219833374
84 step:3660, recons_loss:0.16614173352718353, g_loss:0.7554949522018433, d_loss:1.3520288467407227, real_loss:0.6921467781066895, fake_loss:0.6598820686340332
85 step:3710, recons_loss:0.1569858193397522, g_loss:0.6544479727745056, d_loss:1.3373730182647705, real_loss:0.5730721950531006, fake_loss:0.7643008232116699
86 step:3744, recons_loss:0.15630240738391876, g_loss:0.5553309321403503, d_loss:1.403151035308838, real_loss:0.4841209650039673, fake_loss:0.9190300703048706
87 step:3794, recons_loss:0.16326220333576202, g_loss:0.8236273527145386, d_loss:1.2306342124938965, real_loss:0.6403631567955017, fake_loss:0.59027099609375
