1 [SwanLab-INFO]:        Experiment GAN has been registered.
2 [SwanLab-INFO]:        Run data will be saved locally in C:\LearningGit\Learning Project\GAN\logs\run-20240221_172140-cc096f50
3 [SwanLab-INFO]:        Experiment_name: GAN_2024-02-21_17-21-40
4 [SwanLab-INFO]:        Run `swanlab watch` to view SwanLab Experiment Dashboard
5 use gpu for training
6 step:0, recons_loss:0.6928392052650452, g_loss:0.7481929063796997, d_loss:1.3883299827575684, real_loss:0.6747789978981018, fake_loss:0.7135509252548218
52 step:2172, recons_loss:0.12100920081138611, g_loss:0.006050610914826393, d_loss:8.353970315511106e-07, real_loss:6.84522774463403e-07, fake_loss:1.5087428550941695e-07
53 step:2222, recons_loss:0.1159321516752243, g_loss:0.005797028541564941, d_loss:1.4835978845439968e-06, real_loss:1.0626399671309628e-06, fake_loss:4.209578889913246e-07
54 step:2272, recons_loss:0.11255431920289993, g_loss:0.005627971142530441, d_loss:8.158390301105101e-07, real_loss:5.606565878224501e-07, fake_loss:2.5518244228806e-07
55 step:2322, recons_loss:0.11781050264835358, g_loss:0.0058910720981657505, d_loss:1.358800091111334e-06, real_loss:8.121136261252104e-07, fake_loss:5.466864649861236e-07
56 step:2340, recons_loss:0.11757113039493561, g_loss:0.005879048258066177, d_loss:1.2414534467097837e-06, real_loss:7.497150136259734e-07, fake_loss:4.917384330838104e-07
57 step:2390, recons_loss:0.1204250305891037, g_loss:0.006021540146321058, d_loss:1.2554241948237177e-06, real_loss:9.667140830060816e-07, fake_loss:2.8871008339592663e-07
58 step:2440, recons_loss:0.1216360330581665, g_loss:0.006082219071686268, d_loss:1.123175479733618e-06, real_loss:7.059428526190459e-07, fake_loss:4.1723257027115324e-07
59 step:2490, recons_loss:0.1198764368891716, g_loss:0.005994828883558512, d_loss:2.9951379474368878e-06, real_loss:1.9883777895302046e-06, fake_loss:1.0067601579066832e-06
60 step:2540, recons_loss:0.12846949696540833, g_loss:0.006424075458198786, d_loss:1.5655541574233212e-06, real_loss:9.64850869422662e-07, fake_loss:6.007032311572402e-07
61 step:2590, recons_loss:0.12389225512742996, g_loss:0.006194969639182091, d_loss:1.2675311609200435e-06, real_loss:9.108346148423152e-07, fake_loss:3.5669660292114713e-07
62 step:2640, recons_loss:0.1190788596868515, g_loss:0.005954856518656015, d_loss:2.2230685772228753e-06, real_loss:1.30944067677774e-06, fake_loss:9.136279004451353e-07
63 step:2690, recons_loss:0.11700073629617691, g_loss:0.005864053498953581, d_loss:3.860442666336894e-05, real_loss:2.4587921870988794e-05, fake_loss:1.4016504792380147e-05
